source,native,name,p_value,significant,intersection_size,term_size,query_size,effective_domain_size,precision,recall,intersections
REAC,REAC:R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,5.726611557226973e-11,true,6,43,11,11056,0.5454545454545454,0.13953488372093023,;REAC;REAC;REAC;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,7.318866027144557e-11,true,9,356,11,11056,0.8181818181818182,0.025280898876404494,REAC;REAC;REAC;REAC;REAC;REAC;;;REAC;REAC;REAC
GO:BP,GO:0033554,cellular response to stress,8.026913436866034e-11,true,11,1856,11,20972,1,0.005926724137931034,"IDA,IMP,IEP,ISS,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,ISS,IBA,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,IBA,NAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,IBA,TAS,IEA;IMP,TAS,IEA;IDA,IMP,IEP"
GO:BP,GO:0044772,mitotic cell cycle phase transition,1.3080233242393762e-10,true,8,426,11,20972,0.7272727272727273,0.018779342723004695,"IMP,IEA;IMP;IDA;IDA,IMP,IBA,IEA;IMP;IMP,IBA,NAS,IEA;;;IDA,IMP,IGI,IBA,TAS;;IEA"
GO:BP,GO:0045930,negative regulation of mitotic cell cycle,1.335657193585919e-10,true,7,223,11,20972,0.6363636363636364,0.03139013452914798,"IMP,IEA;IMP;IDA;IDA,IMP,IBA;IMP,IBA;IMP,IBA,NAS,IEA;;;IDA,IMP,IGI;;"
GO:BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,2.0258394465995764e-10,true,6,107,11,20972,0.5454545454545454,0.056074766355140186,"IDA,IMP,IEA;IBA,IEA;;;IDA,IMP,IEA;IDA;IEA;;IEA;;"
GO:BP,GO:1901796,regulation of signal transduction by p53 class mediator,2.61368687412865e-10,true,6,112,11,20972,0.5454545454545454,0.05357142857142857,"IEA;IMP,TAS;IMP;TAS;TAS;;;;;;IDA,IMP,TAS"
REAC,REAC:R-HSA-1640170,Cell Cycle,2.6348550063321756e-10,true,10,680,11,11056,0.9090909090909091,0.014705882352941176,REAC;REAC;REAC;REAC;REAC;REAC;REAC;REAC;REAC;;REAC
GO:BP,GO:1902749,regulation of cell cycle G2/M phase transition,3.332097413466705e-10,true,6,117,11,20972,0.5454545454545454,0.05128205128205128,"IMP;IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IMP;;"
REAC,REAC:R-HSA-69615,G1/S DNA Damage Checkpoints,5.818149432964558e-10,true,6,68,11,11056,0.5454545454545454,0.08823529411764706,REAC;REAC;;REAC;REAC;;;;REAC;;REAC
REAC,REAC:R-HSA-5685942,HDR through Homologous Recombination (HRR),6.093700189071953e-10,true,6,70,11,11056,0.5454545454545454,0.08571428571428572,;REAC;REAC;REAC;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-69620,Cell Cycle Checkpoints,7.090105124775999e-10,true,8,289,11,11056,0.7272727272727273,0.02768166089965398,REAC;REAC;REAC;REAC;REAC;REAC;;;REAC;;REAC
REAC,REAC:R-HSA-5633007,Regulation of TP53 Activity,7.659079454845383e-10,true,7,160,11,11056,0.6363636363636364,0.04375,REAC;REAC;REAC;REAC;REAC;REAC;;;;;REAC
GO:BP,GO:0000086,G2/M transition of mitotic cell cycle,9.302191152598345e-10,true,6,139,11,20972,0.5454545454545454,0.04316546762589928,";IMP;IDA;IDA,IMP,IBA,IEA;IMP;IMP,IBA,NAS,IEA;;;IMP;;"
GO:BP,GO:0006260,DNA replication,9.551242837124554e-10,true,7,300,11,20972,0.6363636363636364,0.023333333333333334,"IEA;;IMP,ISS,TAS;TAS;;IDA,NAS;IMP,IEA;IDA,IMP,IEA;TAS;;"
GO:BP,GO:0044818,mitotic G2/M transition checkpoint,1.1111094155788203e-9,true,5,54,11,20972,0.45454545454545453,0.09259259259259259,";IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IMP;;"
GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,1.375055187878651e-9,true,7,318,11,20972,0.6363636363636364,0.0220125786163522,"IDA,IMP,ISS,TAS,IEA;IBA,IEA;;;IDA,IMP,IEA;IDA;IEA;;TAS,IEA;;IMP"
GO:BP,GO:1901990,regulation of mitotic cell cycle phase transition,1.6366801032451348e-9,true,7,327,11,20972,0.6363636363636364,0.021406727828746176,"IMP,IEA;IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IDA,IMP,IGI,IBA;;IEA"
REAC,REAC:R-HSA-73894,DNA Repair,1.6398065737805686e-9,true,8,329,11,11056,0.7272727272727273,0.0243161094224924,REAC;REAC;REAC;REAC;REAC;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-9709570,Impaired BRCA2 binding to RAD51,1.8736159439890538e-9,true,5,35,11,11056,0.45454545454545453,0.14285714285714285,;REAC;REAC;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-69473,G2/M DNA damage checkpoint,2.3069966397856873e-9,true,6,94,11,11056,0.5454545454545454,0.06382978723404255,REAC;REAC;REAC;REAC;REAC;REAC;;;;;
GO:BP,GO:1901991,negative regulation of mitotic cell cycle phase transition,3.1434058248509676e-9,true,6,173,11,20972,0.5454545454545454,0.03468208092485549,"IMP,IEA;IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IDA,IMP,IGI;;"
REAC,REAC:R-HSA-9675136,Diseases of DNA Double-Strand Break Repair,3.4507225476025728e-9,true,5,41,11,11056,0.45454545454545453,0.12195121951219512,;REAC;REAC;;;REAC;REAC;REAC;;;
